STATE FIPS FIPSNAME
AL 01003 Baldwin, AL
AL 01025 Clarke, AL
AL 01039 Covington, AL
AL 01053 Escambia, AL
AL 01061 Geneva, AL
AL 01097 Mobile, AL
AL 01099 Monroe, AL 
AL 01129 Washington, AL
CT 09001 Fairfield, CT
CT 09003 Hartford, CT
CT 09005 Litchfield, CT
CT 09007 Middlesex, CT
CT 09009 New Haven, CT
CT 09011 New London, CT
CT 09013 Tolland, CT
CT 09015 Windham, CT
DC 11001 District of Columbia
DE 10001 Kent, DE
DE 10003 New Castle, DE
DE 10005 Sussex, DE
FL 12005 Bay, FL
FL 12013 Calhoun, FL
FL 12015 Charlotte, FL
FL 12017 Citrus, FL
FL 12021 Collier, FL
FL 12027 De Soto, FL 
FL 12029 Dixie, FL
FL 12033 Escambia, FL
FL 12037 Franklin, FL
FL 12039 Gadsden, FL
FL 12041 Gilchrist, FL
FL 12043 Glades, FL
FL 12045 Gulf, FL
FL 12049 Hardee, FL
FL 12053 Hernando, FL
FL 12057 Hillsborough, FL
FL 12059 Holmes, FL
FL 12063 Jackson, FL
FL 12065 Jefferson, FL
FL 12067 Lafayette, FL
FL 12071 Lee, FL
FL 12073 Leon, FL
FL 12075 Levy, FL
FL 12077 Liberty, FL
FL 12079 Madison, FL
FL 12081 Manatee, FL
FL 12083 Marion, FL
FL 12087 Monroe, FL
FL 12091 Okaloosa, FL
FL 12101 Pasco, FL
FL 12103 Pinellas, FL
FL 12105 Polk, FL
FL 12113 Santa Rosa, FL
FL 12115 Sarasota, FL
FL 12119 Sumter, FL
FL 12121 Suwannee, FL
FL 12123 Taylor, FL
FL 12129 Wakulla, FL
FL 12131 Walton, FL
FL 12133 Washington, FL
FL (EC) 12003 Baker, FL
FL (EC) 12009 Brevard, FL
FL (EC) 12011 Broward, FL
FL (EC) 12019 Clay, FL
FL (EC) 12086 Miami-Dade, FL
FL (EC) 12031 Duval, FL
FL (EC) 12035 Flagler, FL
FL (EC) 12051 Hendry, FL
FL (EC) 12061 Indian River, FL
FL (EC) 12069 Lake, FL
FL (EC) 12085 Martin, FL
FL (EC) 12089 Nassau, FL
FL (EC) 12093 Okeechobee, FL
FL (EC) 12095 Orange, FL 
FL (EC) 12097 Osceola, FL
FL (EC) 12099 Palm Beach, FL
FL (EC) 12107 Putnam, FL
