FIPS,State
9001,CT
9007,CT
9009,CT
9011,CT
10001,DE
10003,DE
10005,DE
12005,FL
12009,FL
12011,FL
12015,FL
12017,FL
12019,FL
12021,FL
12029,FL
12031,FL
12033,FL
12035,FL
12037,FL
12045,FL
12053,FL
12057,FL
12061,FL
12065,FL
12069,FL
12071,FL
12073,FL
12075,FL
12077,FL
12081,FL
12085,FL
12086,FL
12087,FL
12089,FL
12091,FL
12095,FL
12099,FL
12101,FL
12103,FL
12105,FL
12107,FL
12109,FL
12111,FL
12113,FL
12115,FL
12117,FL
12123,FL
12127,FL
12129,FL
12131,FL
13025,GA
13029,GA
13039,GA
13049,GA
13051,GA
13127,GA
13179,GA
13191,GA
13305,GA
22019,LA
22023,LA
22045,LA
22051,LA
22057,LA
22063,LA
22071,LA
22075,LA
22087,LA
22089,LA
22093,LA
22095,LA
22099,LA
22101,LA
22103,LA
22105,LA
22109,LA
22113,LA
23005,ME
23009,ME
23013,ME
23015,ME
23023,ME
23027,ME
23029,ME
23031,ME
24003,MD
24005,MD
24009,MD
24011,MD
24015,MD
24017,MD
24019,MD
24025,MD
24029,MD
24033,MD
24035,MD
24037,MD
24039,MD
24041,MD
24045,MD
24047,MD
24510,MD
25001,MA
25005,MA
25007,MA
25009,MA
25017,MA
25019,MA
25021,MA
25023,MA
25025,MA
28045,MS
28047,MS
28059,MS
33015,NH
33017,NH
34001,NJ
34003,NJ
34005,NJ
34007,NJ
34009,NJ
34011,NJ
34013,NJ
34015,NJ
34017,NJ
34023,NJ
34025,NJ
34029,NJ
34033,NJ
34035,NJ
34039,NJ
36001,NY
36005,NY
36011,NY
36013,NY
36027,NY
36029,NY
36045,NY
36047,NY
36055,NY
36059,NY
36061,NY
36063,NY
36071,NY
36073,NY
36075,NY
36079,NY
36081,NY
36085,NY
36087,NY
36089,NY
36103,NY
36111,NY
36117,NY
36119,NY
37013,NC
37015,NC
37019,NC
37029,NC
37031,NC
37041,NC
37049,NC
37053,NC
37055,NC
37073,NC
37091,NC
37095,NC
37129,NC
37133,NC
37137,NC
37139,NC
37141,NC
37143,NC
37177,NC
37187,NC
42017,PA
42045,PA
42049,PA
42101,PA
44001,RI
44003,RI
44005,RI
44007,RI
44009,RI
45013,SC
45015,SC
45019,SC
45029,SC
45035,SC
45043,SC
45051,SC
45053,SC
48007,TX
48039,TX
48057,TX
48061,TX
48071,TX
48167,TX
48201,TX
48239,TX
48245,TX
48261,TX
48273,TX
48321,TX
48355,TX
48361,TX
48391,TX
48409,TX
48469,TX
48489,TX
51001,VA
51013,VA
51033,VA
51036,VA
51041,VA
51057,VA
51059,VA
51073,VA
51085,VA
51087,VA
51093,VA
51095,VA
51097,VA
51099,VA
51101,VA
51103,VA
51115,VA
51119,VA
51127,VA
51131,VA
51133,VA
51149,VA
51153,VA
51159,VA
51177,VA
51179,VA
51181,VA
51193,VA
51199,VA
51510,VA
51550,VA
51650,VA
51670,VA
51700,VA
51710,VA
51735,VA
51740,VA
51760,VA
51800,VA
51810,VA
51830,VA
